scannet-20	scannet-41
unlabeled	unlabeled
wall	wall
floor	floor
cabinet	cabinet
bed	bed
chair	chair
sofa	sofa
table	table
door	door
window	window
bookshelf	bookshelf
picture	picture
counter	counter
unlabeled	unlabeled
desk	desk
unlabeled	unlabeled
curtain	curtain
unlabeled	unlabeled
unlabeled	unlabeled
unlabeled	unlabeled
unlabeled	unlabeled
unlabeled	unlabeled
unlabeled	unlabeled
unlabeled	unlabeled
refridgerator	refridgerator
unlabeled	unlabeled
unlabeled	unlabeled
unlabeled	unlabeled
shower curtain	shower curtain
unlabeled	unlabeled
unlabeled	unlabeled
unlabeled	unlabeled
unlabeled	unlabeled
toilet	toilet
sink	sink
unlabeled	unlabeled
bathtub	bathtub
unlabeled	unlabeled
unlabeled	unlabeled
otherfurniture	otherfurniture
unlabeled	unlabeled
